Title Name,Genres,Rating,Duration,Aired,Metascore,IMDb
Унесённые призраками,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Mystery']",12+,2h 5min,31 December 2002 (Russia),96,8.6
Король лев 1,"['Animation', 'Adventure', 'Drama', 'Family', 'Musical']",0+,1h 28min,20 January 1995 (Russia),88,8.5
Могила светлячков,"['Animation', 'Drama', 'War']",,1h 29min,16 April 1988 (Japan),94,8.5
Твое имя,"['Animation', 'Drama', 'Fantasy', 'Romance']",12+,1h 46min,7 September 2017 (Russia),79,8.4
Человек-паук: Через Вселенные,"['Animation', 'Action', 'Adventure', 'Family', 'Sci-Fi']",6+,1h 57min,13 December 2018 (Russia),87,8.4
Тайна Коко,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Music', 'Mystery']",12+,1h 45min,23 November 2017 (Russia),81,8.4
ВАЛЛ-И,"['Animation', 'Adventure', 'Family', 'Sci-Fi']",0+,1h 38min,3 July 2008 (Russia),95,8.4
Принцесса Мононоке,"['Animation', 'Adventure', 'Fantasy']",12+,2h 14min,24 June 2010 (Russia),76,8.4
История игрушек 3,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0+,1h 43min,17 June 2010 (Russia),92,8.3
История игрушек,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,1h 21min,22 December 1995 (Russia),95,8.3
Форма голоса,"['Animation', 'Drama', 'Family', 'Romance']",12+,2h 10min,17 September 2016 (Japan),78,8.2
Клаус,"['Animation', 'Adventure', 'Comedy', 'Family']",PG,1h 36min,15 November 2019 (Spain),65,8.2
Вверх,"['Animation', 'Adventure', 'Comedy', 'Family']",0+,1h 36min,28 May 2009 (Russia),88,8.2
Ходячий замок,"['Animation', 'Adventure', 'Family', 'Fantasy']",12+,1h 59min,27 August 2005 (Russia),80,8.2
Мой сосед Тоторо,"['Animation', 'Family', 'Fantasy']",0+,1h 26min,16 April 1988 (Japan),86,8.2
Волчьи дети Амэ и Юки,"['Animation', 'Drama', 'Family', 'Fantasy']",12+,1h 57min,21 July 2012 (Japan),71,8.1
Головоломка,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']",6+,1h 35min,18 June 2015 (Russia),94,8.1
Песнь моря,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy']",PG,1h 33min,27 August 2015 (Russia),85,8.1
Мэри и Макс,"['Animation', 'Comedy', 'Drama', 'Family']",,1h 32min,3 December 2009 (Russia),,8.1
Как приручить дракона,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy']",6+,1h 38min,18 March 2010 (Russia),75,8.1
В поисках Немо,"['Animation', 'Adventure', 'Comedy', 'Family']",0+,1h 40min,25 December 2003 (Russia),90,8.1
Конец Евангелиона,"['Animation', 'Action', 'Drama', 'Fantasy', 'Sci-Fi']",18+,1h 27min,2005 (Germany),,8.1
Навсикая из Долины ветров,"['Animation', 'Adventure', 'Fantasy', 'Sci-Fi']",12+,1h 57min,11 March 1984 (Japan),86,8.1
Зверополис,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Family', 'Mystery']",6+,1h 48min,3 March 2016 (Russia),78,8.0
Сказание о принцессе Кагуя,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy']",6+,2h 17min,23 November 2013 (Japan),89,8.0
Персеполис,"['Animation', 'Biography', 'Drama', 'Family', 'History', 'War']",PG-13,1h 36min,27 June 2007 (France),90,8.0
Рататуй,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",0+,1h 51min,28 June 2007 (Russia),96,8.0
Суперсемейка,"['Animation', 'Action', 'Adventure', 'Family']",12+,1h 55min,23 December 2004 (Russia),90,8.0
Корпорация монстров,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,1h 32min,22 March 2002 (Russia),79,8.0
Истинная грусть,"['Animation', 'Crime', 'Mystery', 'Thriller']",R,1h 21min,28 February 1998 (Japan),,8.0
Стальной гигант,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Sci-Fi']",0+,1h 26min,6 August 1999 (USA),85,8.0
Призрак в доспехах,"['Animation', 'Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",,1h 23min,18 November 1995 (Japan),76,8.0
Кошмар перед Рождеством,"['Animation', 'Family', 'Fantasy', 'Musical']",12+,1h 16min,9 November 1995 (Russia),82,8.0
Аладдин,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",,1h 30min,2 April 1994 (Russia),86,8.0
Красавица и чудовище,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",6+,1h 24min,10 July 1993 (Russia),95,8.0
Акира,"['Animation', 'Drama', 'Sci-Fi', 'Thriller']",R,2h 4min,16 July 1988 (Japan),,8.0
Небесный замок Лапута,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']",12+,2h 5min,2 August 1986 (Japan),78,8.0
Остров собак,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']",12+,1h 41min,3 May 2018 (Russia),82,7.9
Бесподобный мистер Фокс,"['Animation', 'Adventure', 'Comedy', 'Crime', 'Drama', 'Family']",12+,1h 27min,23 October 2009 (UK),83,7.9
Ковбой Бибоп,"['Animation', 'Action', 'Crime', 'Drama', 'Sci-Fi', 'Thriller']",,1h 55min,1 September 2001 (Japan),61,7.9
История игрушек 2,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,1h 32min,2 December 1999 (Russia),88,7.9
Шёпот сердца,"['Animation', 'Drama', 'Family', 'Music', 'Romance']",,1h 51min,15 July 1995 (Japan),75,7.9
Манускрипт ниндзя,"['Animation', 'Action', 'Adventure', 'Fantasy', 'Thriller']",,1h 34min,5 June 1993 (Japan),,7.9
Кубо. Легенда о самурае,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy']",6+,1h 41min,20 October 2016 (Russia),84,7.8
"Ван Гог. С любовью, Винсент","['Animation', 'Biography', 'Crime', 'Drama', 'Family', 'Mystery']",PG-13,1h 34min,22 September 2017 (USA),62,7.8
Город героев,"['Animation', 'Action', 'Adventure', 'Family', 'Sci-Fi']",6+,1h 42min,25 October 2014 (Russia),74,7.8
Ветер крепчает,"['Animation', 'Biography', 'Drama', 'History', 'Romance', 'War']",12+,2h 6min,20 February 2014 (Russia),83,7.8
История игрушек 4,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,1h 40min,20 June 2019 (Russia),84,7.8
Как приручить дракона 2,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy']",0+,1h 42min,12 June 2014 (Russia),76,7.8
"Девочка, покорившая время","['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Mystery', 'Romance', 'Sci-Fi']",,1h 38min,15 July 2006 (Japan),,7.8
Однажды в Токио,"['Animation', 'Adventure', 'Comedy', 'Drama']",16+,1h 33min,8 November 2003 (Japan),73,7.8
Трио из Бельвилля,"['Animation', 'Comedy', 'Drama']",12+,1h 20min,6 November 2003 (Russia),91,7.8
Пробуждение жизни,"['Animation', 'Drama', 'Fantasy']",16+,1h 39min,7 March 2002 (Australia),82,7.8
Шрек,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",6+,1h 30min,31 October 2001 (Russia),84,7.8
Бэтмэн: Маска фантазма,"['Animation', 'Action', 'Crime', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']",PG,1h 16min,25 December 1993 (USA),,7.8
Ведьмина служба доставки,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy']",12+,1h 43min,29 July 1989 (Japan),83,7.8
